-55,29,-10
-94,26,23
-86,55,-65
-14,-70,1
-16,-81,-83
-23,61,-61
-90,40,-60
60,38,39
53,-21,99
91,-31,-38
69,10,87
-41,-78,79
81,62,7
88,-81,14
31,-59,-69
-66,-11,-20
-46,-46,78
97,23,-54
31,-23,9
89,-100,-56
4,11,22
92,66,-31
84,-81,80
58,-82,48
-47,91,-70
79,46,1
50,51,83
82,15,43
59,90,13
-81,-57,-89
65,-69,89
96,62,-72
-84,14,90
-81,-4,-15
-7,47,1
53,17,12
-18,-43,-10
-56,36,-35
-55,-93,-2
2,-16,-95
-97,-94,87
-27,-87,-57
88,37,24
82,38,42
-9,-13,-59
11,-3,-92
49,93,15
-70,28,80
23,70,1
94,-60,-74
84,-75,0
-67,-6,37
-57,-23,-82
-52,39,-67
32,97,18
-96,61,96
33,-21,27
-35,45,30
33,1,-51
3,51,98
73,21,51
-94,73,78
60,23,9
79,78,-33
42,-79,-4
-7,-53,45
28,28,-4
-50,67,54
41,33,31
3,6,-58
-34,-67,28
-50,87,82
23,77,55
-97,5,43
64,-48,-36
98,-9,95
64,31,33
65,77,-32
-94,4,-52
-96,-74,-46
6,-2,77
-20,42,-7
59,100,71
85,55,71
-12,-13,-47
-45,-59,-50
-27,26,40
37,-67,-63
-65,44,80
7,23,-76
12,-11,-62
-93,-93,17
68,-16,-63
-83,-83,-79
46,-48,-54
23,-55,39
-74,45,95
-19,40,-31
-29,20,58
-93,61,95
26,-9,100
43,-6,-71
49,15,-92
-98,-90,23
-21,86,89
-33,62,-82
53,-29,-16
-67,-89,50
39,-71,77
98,-66,14
33,71,-69
-40,-68,-96
30,-100,15
-77,-40,69
-66,-98,3
-41,17,67
-53,-43,-57
-3,-13,87
-74,14,-33
-30,-4,57
78,99,13
-23,93,64
-72,-3,-72
0,93,-97
20,41,28
-97,-89,1
-49,68,-7
39,-82,56
3,-92,-72
-43,-57,0
-71,26,91
-45,59,-39
74,82,-94
47,-50,15
-61,88,78
-69,-58,92
-9,-2,89
95,10,36
-56,-42,99
-49,-71,66
7,-6,-25
47,-94,-27
7,-93,-51
-97,56,-19
-95,-66,-29
79,-32,-33
-43,-4,70
9,-36,-8
-69,91,93
0,-47,2
-60,36,-78
-5,13,80
-46,-25,-35
48,-86,22
54,93,-7
-86,68,47
-9,22,6
42,22,21
-78,-10,-23
60,66,-4
66,-96,99
-62,-93,87
3,-20,-19
-95,-17,72
62,-68,-80
-4,52,61
48,5,87
-9,61,-6
-72,-52,19
-28,-30,-51
-88,88,48
-34,90,5
-100,91,-65
75,-13,-43
49,34,87
11,49,46
26,-79,-28
76,19,100
87,-54,50
-37,6,53
-51,-94,21
-66,93,53
-84,-80,-13
79,50,-41
-31,84,-100
80,-73,-59
62,85,-69
-96,-78,-52
14,-45,-88
37,-76,-47
26,-91,-31
-97,-6,55
89,-85,54
79,30,89
-57,82,45
-74,89,-97
88,-96,77
11,73,58
59,34,48
-81,-5,-48
66,69,75
-41,-63,48
-100,-54,6
-78,-87,24
-69,-34,34
26,10,17
-2,7,-24
-83,20,39
-31,84,27
-26,-97,-34
-80,-73,-10
-72,78,-45
48,-74,-18
-75,-99,-12
98,-52,-26
88,15,-70
-100,-60,-56
73,24,36
-95,-51,29
6,-90,-98
13,-23,33
-10,100,-10
-24,55,61
-76,92,-58
-40,-73,97
33,100,-64
-60,-40,22
44,88,53
-42,39,-23
59,92,-9
100,-97,96
59,-93,-99
78,-13,-87
41,-38,87
88,-55,71
-54,-60,88
-38,-38,-49
-1,-51,-42
76,47,87
-78,85,-60
-15,-87,-23
81,-4,82
45,100,34
15,-25,16
96,-38,52
-4,66,60
9,48,-20
-12,75,27
-3,54,89
82,-45,100
59,33,45
24,41,30
-68,10,7
80,79,24
-9,-70,-28
-61,11,-25
-35,50,46
66,19,2
-91,-99,-51
78,77,87
-75,93,50
-62,89,64
26,-64,58
67,-30,-18
27,-7,67
-31,-90,75
38,-23,-69
28,-91,52
2,58,-24
33,90,11
61,88,19
0,-57,-29
17,-84,25
81,-18,-77
-5,-85,56
75,-95,-40
45,51,82
-11,23,92
76,-57,62
33,9,-89
27,-37,74
72,95,-4
-92,-36,-90
20,-77,-37
-40,-73,89
-76,-90,99
-30,19,-17
-26,-87,73
-45,27,70
-90,-5,-74
19,53,70
-95,79,8
-5,-71,-9
-34,86,-14
-46,5,-18
-26,8,67
-38,55,-4
37,69,65
59,9,-77
63,-84,-93
84,-1,-57
-28,85,36
68,20,61
-79,58,48
92,-49,29
-63,-27,-89
-90,-76,-84
-13,67,-15
39,59,-85
16,52,32
-86,-22,-30
-96,-47,40
-44,36,-86
4,4,-56
-8,-67,39
-89,-83,25
58,-36,-1
92,-29,-37
11,30,-33
-52,-77,81
18,68,47
44,-88,12
-56,36,71
-35,44,-91
-58,-72,-89
-63,-6,36
1,-29,-75
86,7,-71
-66,-27,54
20,-48,47
-38,43,-66
-41,-67,-2
-34,-5,-30
-29,-49,-87
-90,100,40
80,-42,-39
-6,48,19
88,50,27
-1,-76,67
-75,85,-91
48,-75,-6
59,0,61
-62,-49,79
-2,-25,63
67,53,-62
22,88,-17
69,-59,-51
-15,30,41
-82,33,73
-94,90,0
-47,2,40
-88,72,93
57,23,-11
-85,90,-77
56,7,61
53,6,94
5,-27,-93
29,85,-8
69,-58,49
-78,89,-25
30,20,-74
43,-74,3
-89,30,75
79,-42,-43
84,91,0
70,24,55
23,25,-97
-99,38,-89
-67,67,-39
-17,-98,-3
48,-28,25
52,9,21
-16,-74,58
97,-70,87
-18,95,-52
37,10,8
-14,-64,94
73,30,-79
61,66,54
55,54,60
-87,-8,76
-66,84,67
4,-17,74
-63,-28,81
58,-60,-6
65,-34,100
94,-34,80
6,79,-99
-24,-86,53
-31,14,70
69,11,72
-29,41,-47
84,-5,92
91,-93,59
8,-88,65
-10,-19,37
-78,-65,-73
7,-7,57
-70,3,-70
35,45,-73
-51,58,58
-69,28,28
-69,-40,-29
31,67,-95
34,-53,11
54,-82,-27
-23,-99,18
-45,-94,-84
10,-52,-11
-54,-80,72
-40,-17,94
98,69,-53
48,72,-58
-65,-60,27
-48,37,11
32,92,46
-53,-25,-28
-100,85,51
16,-84,-69
-40,9,-94
-17,19,76
63,-25,75
24,-19,-43
-60,58,99
-81,-64,-66
-68,75,90
34,-16,-68
-5,-7,-23
15,-69,-32
-32,-28,77
98,-41,-89
95,68,-10
21,-17,-92
-100,84,46
83,-12,-97
24,34,90
-78,69,-23
33,73,-15
57,52,3
-50,29,88
-41,-12,-78
43,51,83
97,-47,-37
73,66,72
97,-77,-12
5,5,67
12,-15,22
-50,84,-44
-77,75,48
-25,99,48
75,17,-7
73,-55,52
54,100,-53
-25,34,-42
-96,-96,-17
-5,-77,35
-37,-27,-81
-65,97,58
-33,15,100
40,-42,-42
99,45,-68
8,-63,9
65,-58,-51
-84,56,-70
-28,64,52
-54,-3,93
68,37,-33
-52,-54,28
88,27,-99
-33,71,-43
18,-40,-1
90,1,0
27,24,31
100,82,-47
-13,-35,9
81,-82,-48
25,82,-96
6,-51,-18
79,96,89
19,57,46
12,96,4
9,94,38
78,10,21
34,-69,-74
-62,-74,55
79,-60,-48
-29,-26,-69
-15,-68,-21
-75,66,41
-22,-56,2
81,-8,-74
81,-68,82
-3,-52,-45
-47,-96,-32
-60,-92,67
14,-97,-51
-28,-99,-12
-77,100,-98
-80,-20,-17
-94,-82,68
-40,-52,-62
28,17,86
-3,-9,86
-5,29,84
29,25,46
-33,-83,-47
48,-4,29
-39,48,-26
-21,-10,4
-76,6,-51
-84,-99,90
51,7,37
72,-56,-13
-57,100,2
7,58,-70
-75,52,-30
63,28,-69
95,-88,32
-43,-44,-50
37,-1,11
73,-7,-1
-78,-25,3
10,-99,-69
-12,7,-83
-13,-78,83
-93,98,57
-75,-51,64
-53,-61,53
-38,-35,70
52,-5,65
17,10,-87
-7,83,88
